contour_id,point_id,u,v
229,0,0.395303,-0.124638
229,1,0.396561,-0.120322
230,0,0.390935,-0.137505
230,1,0.395303,-0.124638
231,0,0.38949,-0.141763
231,1,0.390935,-0.137505
232,0,0.384565,-0.154427
232,1,0.38949,-0.141763
233,0,0.382935,-0.158617
233,1,0.384565,-0.154427
234,0,0.377463,-0.171054
234,1,0.382935,-0.158617
235,0,0.375652,-0.175169
235,1,0.377463,-0.171054
236,0,0.369642,-0.187356
236,1,0.375652,-0.175169
237,0,0.367654,-0.191388
237,1,0.369642,-0.187356
238,0,0.361118,-0.203301
238,1,0.367654,-0.191388
239,0,0.358956,-0.207243
239,1,0.361118,-0.203301
240,0,0.351907,-0.21886
240,1,0.358956,-0.207243
241,0,0.349574,-0.222703
241,1,0.351907,-0.21886
242,0,0.342025,-0.234001
242,1,0.349574,-0.222703
243,0,0.339527,-0.23774
243,1,0.342025,-0.234001
244,0,0.331493,-0.248697
244,1,0.339527,-0.23774
245,0,0.328834,-0.252323
245,1,0.331493,-0.248697
246,0,0.320329,-0.26292
246,1,0.328834,-0.252323
247,0,0.317515,-0.266427
247,1,0.320329,-0.26292
248,0,0.308556,-0.276643
248,1,0.317515,-0.266427
249,0,0.305591,-0.280023
249,1,0.308556,-0.276643
250,0,0.296195,-0.289838
250,1,0.305591,-0.280023
251,0,0.293086,-0.293086
251,1,0.296195,-0.289838
252,0,0.283271,-0.302482
252,1,0.293086,-0.293086
